OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTAre,ShapeSTLen
"1005",SRA,"1",Moderate,,,"4068203.338575889356434","12204.880959247937426"
"1006",SRA,"1",Moderate,,,"4295390.696028908714652","12046.981728944492716"
"1007",SRA,"1",Moderate,,,"571637252.171162843704224","333258.244816442776937"
"1008",SRA,"1",Moderate,,,"8949976.048713857308030","28737.530467120050162"
"1009",SRA,"1",Moderate,,,"2431208.329915044829249","11021.681604781937494"
"1010",SRA,"1",Moderate,,,"1578817.870516354218125","7480.394303261744426"
"1011",SRA,"1",Moderate,,,"6935156.659832409583032","17126.027088198279671"
"1012",SRA,"1",Moderate,,,"12337954.246762938797474","22286.441574928107002"
"1013",SRA,"1",Moderate,,,"127701362.903113812208176","140493.595482110598823"
"1014",SRA,"3",Very High,,,"1996925765.995246171951294","417360.867230499978177"
"1015",SRA,"3",Very High,,,"292911587.585771918296814","141791.189283835061360"
"1016",SRA,"3",Very High,,,"5636500.038409957662225","13651.973737205598809"
"1017",SRA,"3",Very High,,,"32246518.026843443512917","35811.199895341211231"
"1018",SRA,"3",Very High,,,"45.216121206465587","101.922145077196433"
"1019",SRA,"3",Very High,,,"166251680.946571052074432","88871.965511440765113"
"1020",SRA,"3",Very High,,,"1571010.840210361173376","7989.180549097082803"
"1021",SRA,"3",Very High,,,"1459153.538009952986613","5793.498479466853496"
"1022",SRA,"3",Very High,,,"5504211.351395002566278","10966.254148748168518"
"1023",SRA,"3",Very High,,,"3034212.518442499917001","7921.689458601596925"
"1024",SRA,"3",Very High,,,"2774479.149087341967970","9530.240230096696905"
"1025",SRA,"3",Very High,,,"429716.115267079905607","3279.485067604499818"
"1026",SRA,"3",Very High,,,"8714625.326098674908280","13216.445522765254282"
"1027",SRA,"3",Very High,,,"40741886.268013551831245","51662.571523903199704"
"1028",SRA,"3",Very High,,,"73651.057341658379300","1163.857016898929942"
"1029",SRA,"3",Very High,,,"10619314.201472014188766","21101.274356766676647"
"1030",SRA,"3",Very High,,,"19840023.967962019145489","20917.224383369062707"
"1031",SRA,"3",Very High,,,"75816621.476231321692467","62752.747180606136681"
"1032",SRA,"3",Very High,,,"27235551.160096321254969","37587.455409727270307"
"1033",SRA,"3",Very High,,,"1747635.845811558188871","5390.011690914027895"
"1034",SRA,"3",Very High,,,"1620060.086172862211242","5091.704071947814555"
"1035",SRA,"3",Very High,,,"6538.779672200955247","337.230293371215168"
"1036",SRA,"3",Very High,,,"11177.986960186222859","494.289664960651635"
"1037",SRA,"3",Very High,,,"9031884.819327482953668","19425.393417478426272"
"1038",SRA,"3",Very High,,,"27060440.966585136950016","54910.194604726195394"
"1039",SRA,"3",Very High,,,"3877.830345290809873","253.035299213672886"
"1040",SRA,"3",Very High,,,"2493009835.116299152374268","841601.654673415119760"
"1041",SRA,"3",Very High,,,"3104.264835563812994","224.302220092345578"
"1042",SRA,"3",Very High,,,"3507659.700732628349215","7934.029710843168687"
"1043",SRA,"3",Very High,,,"47212.353404987996328","1028.328255396652366"
"1044",SRA,"3",Very High,,,"6267.701409867245275","357.516732157756849"
"1045",SRA,"3",Very High,,,"12001.337690925911375","580.022558671687761"
"1046",SRA,"3",Very High,,,"16144.382688425244851","602.846099367823740"
"1047",SRA,"3",Very High,,,"1200.008594453704973","139.989492516659880"
"1048",SRA,"3",Very High,,,"19489.217969970468403","591.506379978546306"
"1049",SRA,"3",Very High,,,"11467.944353593193227","566.988537496833032"
"1050",SRA,"3",Very High,,,"11427466.116026913747191","21711.851175693835103"
"1051",SRA,"3",Very High,,,"7857.548274854654665","443.575539434088967"
"1052",SRA,"3",Very High,,,"42459.644879675804987","860.135759280889374"
"1053",SRA,"3",Very High,,,"6380134.092198659665883","15892.215938744047889"
"1054",SRA,"3",Very High,,,"4654.349893467357106","283.539381317854748"
"1055",SRA,"3",Very High,,,"4905.164281070217839","278.806935193491483"
"1056",SRA,"3",Very High,,,"14.073382530261972","122.108849858795239"
"1057",SRA,"3",Very High,,,"682.374716753044936","104.584221869526829"
"1058",SRA,"3",Very High,,,"860514.577917360002175","5875.323520969592209"
"1059",SRA,"3",Very High,,,"10.857140146787383","148.852904375727974"
"1060",SRA,"3",Very High,,,"18.064950047110969","140.642248694818676"
"1061",SRA,"3",Very High,,,"93202.835387939019711","2295.568853043339004"
"1062",SRA,"3",Very High,,,"17900.233683101647330","630.960028080014695"
"1063",SRA,"3",Very High,,,"58544.437944761426479","1057.599716307531480"
"1064",SRA,"3",Very High,,,"217675.107919776171912","1866.227118616408234"
"1065",SRA,"3",Very High,,,"23436081.794277656823397","24282.926931338177383"
"1066",SRA,"3",Very High,,,"4645109.927709336392581","14516.932832908232740"
"1067",SRA,"3",Very High,,,"6609.295005235979261","369.319650833589947"
"1068",SRA,"3",Very High,,,"2458.196875865511629","198.476966063263745"
"1069",SRA,"3",Very High,,,"21790.061575206345879","718.196358229554789"
"1070",SRA,"3",Very High,,,"454018.235093833296560","3880.203934718529126"
"1071",SRA,"3",Very High,,,"2672.915054978641365","207.191401035905102"
"1072",SRA,"3",Very High,,,"25096.463404545709636","963.495435192258697"
"1073",SRA,"3",Very High,,,"3948.141290998498334","268.103643668865800"
"1074",SRA,"3",Very High,,,"918453.862123967730440","4103.554191547044866"
"1075",SRA,"3",Very High,,,"8978744.031069826334715","14609.511657619741527"
"1076",SRA,"3",Very High,,,"10162.250933851575610","449.004171429384712"
"1077",SRA,"3",Very High,,,"19395.070777438839286","652.719608519476878"
"1078",SRA,"3",Very High,,,"10696.729738480369633","460.197878778746485"
"1079",SRA,"3",Very High,,,"3487151.941020253114402","11287.381476388793089"
"1080",SRA,"3",Very High,,,"4950.628023054009645","324.296690031452613"
"1081",SRA,"3",Very High,,,"50668.928323805230320","1528.424930366467606"
"1082",SRA,"3",Very High,,,"6367.299559540339033","342.649083178298213"
"1083",SRA,"3",Very High,,,"893.926724840890756","129.544772757649866"
"1084",SRA,"3",Very High,,,"52234.583504483402066","947.102865276502257"
"1085",SRA,"3",Very High,,,"8387062.691863489337265","15582.558245763324521"
"1086",SRA,"3",Very High,,,"47597.560320251446683","1393.358632330324781"
"1087",SRA,"3",Very High,,,"21549.487475107242062","896.791011026832052"
"1088",SRA,"3",Very High,,,"92712.066247998343897","1512.257855523911758"
"1089",SRA,"3",Very High,,,"3468.244368960928568","268.504667835763541"
"1090",SRA,"3",Very High,,,"20054.219608322568092","589.966630042254792"
"1091",SRA,"3",Very High,,,"15477210.114207062870264","32809.060017280600732"
"1092",SRA,"3",Very High,,,"50640198.028863310813904","45658.955034211743623"
"1093",SRA,"3",Very High,,,"30224.737023852954735","817.230668674298840"
"1094",SRA,"3",Very High,,,"9779.654684448380067","512.093619030656441"
"1095",SRA,"3",Very High,,,"10812.631792538644731","480.223229518420396"
"1096",SRA,"3",Very High,,,"9025.248174311294861","396.550179593966675"
"1097",SRA,"3",Very High,,,"15754.916662186980830","638.341510786709478"
"1098",SRA,"3",Very High,,,"37630.168398901550972","895.639655574243875"
"1099",SRA,"3",Very High,,,"408284.282169515849091","2661.953397169931577"
"1100",SRA,"3",Very High,,,"5519.638519891850592","292.834965684867200"
"1101",SRA,"3",Very High,,,"169381.763856306817615","2796.713986095825476"
"1102",SRA,"3",Very High,,,"32100.216902732914605","1194.030539518488240"
"1103",SRA,"3",Very High,,,"2911058.516032699029893","9570.491927778717582"
"1104",SRA,"3",Very High,,,"6731014.184979096986353","13048.430093254566600"
"1105",SRA,"3",Very High,,,"870909.902982925181277","3959.516364160673675"
"1106",SRA,"3",Very High,,,"9125336.376985291019082","21258.834720454782655"
"1107",SRA,"3",Very High,,,"6485785.591387603431940","17190.809597841682262"
"1108",SRA,"3",Very High,,,"7574183.997084866277874","13652.348266582699580"
"1109",SRA,"3",Very High,,,"2420338.784717355389148","10478.015556506066787"
"1110",SRA,"3",Very High,,,"22653696.953580815345049","31110.703263752868224"
"1111",SRA,"3",Very High,,,"34901312.785629868507385","50542.434157370247704"
"1112",SRA,"3",Very High,,,"91131872.707881852984428","139568.967950782767730"
"1113",SRA,"3",Very High,,,"989546.056793557945639","4290.122791278100522"
"1114",SRA,"3",Very High,,,"227214.983212400635239","3170.211273941501986"
"1115",SRA,"3",Very High,,,"2437559.610370881855488","10701.468792865343858"
"1116",SRA,"3",Very High,,,"252475.188945358589990","2366.244371185402542"
"1117",SRA,"3",Very High,,,"1792926.612004408845678","5356.901709889095400"
"1118",SRA,"3",Very High,,,"4296993.697635296732187","11322.764071148665607"
"1119",SRA,"3",Very High,,,"2624304.605944015085697","8707.735654005282413"
"1120",SRA,"3",Very High,,,"59515.321365119169059","1050.561371734845579"
"1121",SRA,"3",Very High,,,"2211259.553345517721027","6719.615380195584294"
"1122",SRA,"3",Very High,,,"85401.941358591604512","1371.302224444985086"
"1123",SRA,"3",Very High,,,"11017.103669460391757","469.356313459958358"
"1124",SRA,"3",Very High,,,"32134.626554644379212","719.629523314794596"
"1125",SRA,"3",Very High,,,"7262923.932965401560068","14224.075965711397657"
"1126",SRA,"3",Very High,,,"7069217.155118574388325","10752.217424194470368"
"1127",SRA,"3",Very High,,,"14466100.307255877181888","24641.079591710880777"
"1128",SRA,"3",Very High,,,"1459702.915145934326574","6386.249376734660473"
"1129",SRA,"3",Very High,,,"4261170.701862507499754","10040.176468668654707"
"1130",SRA,"3",Very High,,,"2019028.226844714023173","8460.294530065277286"
"1131",SRA,"3",Very High,,,"499777.326670482696500","5012.021408897237961"
"1132",SRA,"3",Very High,,,"3465244.428406106773764","7889.474293811056668"
"1133",SRA,"3",Very High,,,"30430277.713476631790400","48593.113175855309237"
"1134",SRA,"3",Very High,,,"36722464.983612976968288","34469.261477731553896"
"1135",SRA,"3",Very High,,,"160623676.098027318716049","170089.470913143013604"
"1136",SRA,"3",Very High,,,"442804.791540096921381","3312.853313514685397"
"1137",SRA,"3",Very High,,,"1590647.495497671654448","6684.099395533849929"
"1138",SRA,"3",Very High,,,"20396848.189926527440548","31169.278187546475237"
"1139",SRA,"3",Very High,,,"608020.817165594780818","3504.861862465922968"
"1140",SRA,"3",Very High,,,"6583711.705754754133523","10281.729696439653708"
"1141",SRA,"3",Very High,,,"7124089.289640506729484","10682.509408645133590"
"1142",SRA,"3",Very High,,,"8053705.184256096370518","19156.929912652358325"
"1143",SRA,"3",Very High,,,"3341969.764077272266150","9728.730571615569716"
"1144",SRA,"3",Very High,,,"1117629.863434784580022","5787.624128746976567"
"1145",SRA,"3",Very High,,,"2490.728661324380028","208.830785557586893"
"1146",SRA,"3",Very High,,,"2444.291974123287218","197.792159498356028"
"1147",SRA,"3",Very High,,,"871899.407299275510013","4321.049620839564341"
"1148",SRA,"3",Very High,,,"83779137.727995768189430","77564.115882694255561"
"1149",SRA,"3",Very High,,,"34825939.317425556480885","31093.151815685905603"
"1150",SRA,"3",Very High,,,"1172600.231599771184847","5739.343501266324893"
"1151",SRA,"3",Very High,,,"52607.209850156301400","1682.148189204242271"
"1152",SRA,"3",Very High,,,"900175.667385774082504","4200.486237954130047"
"1153",SRA,"3",Very High,,,"212519.316269423521589","2035.822157514095807"
"1154",SRA,"3",Very High,,,"7389651.955324568785727","13922.272287234285614"
"1155",SRA,"3",Very High,,,"6790136.085489423945546","10717.929371651232941"
"1156",SRA,"3",Very High,,,"2943902.620424867607653","8389.957779027598008"
"1157",SRA,"3",Very High,,,"6906897.072088058106601","14255.580718129012894"
"1158",SRA,"3",Very High,,,"1714996.085869451751933","5240.502306882622179"
"1159",SRA,"3",Very High,,,"6828254.339809203520417","13206.069705444635474"
"1160",SRA,"3",Very High,,,"6562192.892649301327765","12873.240095890301745"
"1161",SRA,"3",Very High,,,"1769326.030489308992401","5320.768703827978243"
"1162",SRA,"3",Very High,,,"10288730.223494270816445","23151.215633313451690"
"1163",SRA,"3",Very High,,,"871063.612122955964878","3959.467301191336446"
"1164",SRA,"3",Very High,,,"43115174.244183354079723","47460.594727967662038"
"1165",SRA,"3",Very High,,,"216655.624875017208979","1980.546960227711679"
"1166",SRA,"3",Very High,,,"23335008.438124787062407","40741.840903889446054"
"1167",SRA,"3",Very High,,,"10556270.913954753428698","13260.825082329309225"
"1168",SRA,"3",Very High,,,"1745448.264135483885184","5284.706874420022359"
"1169",SRA,"3",Very High,,,"2280.906657950128647","229.284346857223341"
"1170",SRA,"3",Very High,,,"3174.452291888272157","272.046525331993053"
"1171",SRA,"3",Very High,,,"3805.718524006060761","298.183543090014155"
"1172",SRA,"3",Very High,,,"4491.787652503947356","323.856908747982004"
"1173",SRA,"3",Very High,,,"80.531957869789849","43.585512508263918"
"1174",SRA,"3",Very High,,,"24885.160884335622541","1109.080643193225114"
"1175",SRA,"3",Very High,,,"3019.137160458392373","286.416834919090547"
