x,y,value
-13169794.1569,4051315.075,65535
-13160164.1569,4045165.075,65535
-13165804.1569,4049545.075,154
-13168864.1569,4049575.075,65535
-13161754.1569,4058455.075,65535
-13158664.1569,4054795.075,65535
-13168714.1569,4046695.075,65535
-13163944.1569,4058365.075,36024
-13161874.1569,4064605.075,65535
-13164724.1569,4051825.075,154
-13161454.1569,4062535.075,65535
-13158844.1569,4049395.075,154
-13158454.1569,4048165.075,65535
-13167124.1569,4052005.075,154
-13169374.1569,4054105.075,65535
-13162834.1569,4050385.075,154
-13160104.1569,4045915.075,65535
-13162354.1569,4046545.075,154
-13160164.1569,4060915.075,65535
-13164424.1569,4049875.075,154
-13167514.1569,4063735.075,65535
-13157824.1569,4049665.075,35988
-13167124.1569,4062625.075,65535
-13164214.1569,4058275.075,35996
-13161064.1569,4059055.075,65535
-13156984.1569,4058815.075,65535
-13158184.1569,4048825.075,65535
-13166854.1569,4062865.075,65535
-13167814.1569,4059205.075,65535
-13161874.1569,4050865.075,154
-13164634.1569,4056025.075,36038
-13161724.1569,4053865.075,36048
-13162354.1569,4061905.075,65535
-13161154.1569,4045105.075,65535
-13164724.1569,4057075.075,36038
-13157794.1569,4056475.075,65535
-13156864.1569,4058035.075,65535
-13165294.1569,4060435.075,154
-13163794.1569,4056115.075,36048
-13168714.1569,4049425.075,65535
-13163674.1569,4062745.075,37750
-13162804.1569,4050325.075,154
-13164184.1569,4047715.075,154
-13159054.1569,4052875.075,154
-13164514.1569,4045885.075,154
-13161124.1569,4057405.075,65535
-13156864.1569,4057075.075,65535
-13159114.1569,4048345.075,65535
-13158964.1569,4062115.075,65535
-13165534.1569,4064095.075,65535
-13166494.1569,4055065.075,36038
-13156294.1569,4045825.075,65535
-13166104.1569,4045855.075,65535
-13162024.1569,4056985.075,154
-13156414.1569,4050685.075,35989
-13165354.1569,4054915.075,36038
-13166194.1569,4057465.075,36038
-13167754.1569,4054705.075,65535
-13161124.1569,4051255.075,36026
-13165384.1569,4064485.075,65535
-13165714.1569,4058335.075,36038
-13157434.1569,4062235.075,65535
-13166884.1569,4053955.075,154
-13169614.1569,4058335.075,65535
-13165444.1569,4058245.075,36038
-13166464.1569,4057015.075,36038
-13167154.1569,4046245.075,65535
-13165504.1569,4046215.075,65535
-13169044.1569,4047715.075,65535
-13158064.1569,4055785.075,65535
-13167004.1569,4055125.075,65535
-13156204.1569,4062775.075,65535
-13159984.1569,4052875.075,35981
-13156924.1569,4048915.075,35988
-13162684.1569,4046785.075,154
-13168144.1569,4048015.075,65535
-13160944.1569,4045285.075,65535
-13169254.1569,4057675.075,65535
-13160104.1569,4059505.075,65535
-13159294.1569,4062445.075,65535
-13166314.1569,4054135.075,35997
-13168774.1569,4062595.075,65535
-13169944.1569,4044805.075,65535
-13166554.1569,4044955.075,65535
-13156594.1569,4060915.075,65535
-13163194.1569,4063555.075,37682
-13163944.1569,4061545.075,37681
-13163944.1569,4048585.075,154
-13164094.1569,4056715.075,36038
-13166014.1569,4064515.075,65535
-13161364.1569,4054945.075,36047
-13168294.1569,4064305.075,65535
-13169704.1569,4055545.075,65535
-13161994.1569,4063495.075,65535
-13168774.1569,4056355.075,65535
-13159264.1569,4061395.075,65535
-13156564.1569,4055395.075,65535
-13162414.1569,4051045.075,154
-13163764.1569,4058665.075,154
-13160584.1569,4055725.075,154
-13167844.1569,4059955.075,65535
-13165684.1569,4063975.075,65535
-13156054.1569,4050265.075,65535
-13156684.1569,4056805.075,65535
-13166134.1569,4046635.075,65535
-13169644.1569,4062175.075,65535
-13167304.1569,4056865.075,65535
-13156204.1569,4057525.075,65535
-13165324.1569,4047595.075,154
-13166134.1569,4055455.075,36038
-13157824.1569,4053445.075,65535
-13155934.1569,4050025.075,65535
-13164184.1569,4060675.075,36026
-13159084.1569,4047115.075,65535
-13169944.1569,4060885.075,65535
-13159204.1569,4056775.075,65535
-13164424.1569,4048495.075,154
-13168804.1569,4044895.075,65535
-13164604.1569,4053985.075,36038
-13160014.1569,4045645.075,65535
-13167274.1569,4054555.075,65535
-13163104.1569,4054735.075,35988
-13162744.1569,4055905.075,36040
-13163344.1569,4059025.075,65535
-13163644.1569,4045495.075,65535
-13161304.1569,4049635.075,154
-13158484.1569,4050895.075,36038
-13161364.1569,4049245.075,154
-13158604.1569,4056535.075,65535
-13168774.1569,4046065.075,65535
-13159714.1569,4054825.075,36038
-13166704.1569,4061695.075,65535
-13164364.1569,4054885.075,36038
-13162564.1569,4059085.075,65535
-13167814.1569,4051105.075,154
-13160764.1569,4059865.075,65535
-13159804.1569,4057975.075,65535
-13162654.1569,4064575.075,37682
-13161184.1569,4060015.075,65535
-13167394.1569,4046605.075,65535
-13167544.1569,4059175.075,65535
-13161034.1569,4060855.075,65535
-13157014.1569,4044985.075,65535
-13158814.1569,4060495.075,65535
-13156504.1569,4048495.075,65535
-13167814.1569,4057135.075,65535
-13158424.1569,4056685.075,65535
-13159594.1569,4050175.075,36038
-13164454.1569,4052875.075,36038
-13156294.1569,4055185.075,65535
-13164064.1569,4056505.075,36038
-13157254.1569,4051165.075,36038
-13167244.1569,4063405.075,65535
-13156594.1569,4052605.075,65535
