x,y,value
-13164980.363092452,4053311.60025474,304.65228
-13166863.296940666,4045166.780714934,-9999.0
-13156033.574383361,4063589.5868168757,-9999.0
-13158897.916176705,4044824.5614065393,-9999.0
-13163143.076125406,4052946.566325785,205.72993
-13159160.385743426,4058787.1091890633,-9999.0
-13159388.62014927,4052136.6472959165,88.9241
-13168244.115096023,4049638.4463446317,-9999.0
-13166623.65081453,4047915.942492376,-9999.0
-13156752.51276177,4058946.811532981,-9999.0
-13160415.674975568,4056300.315548058,293.74857
-13164181.542671997,4062517.299650571,163.72125
-13159263.091226056,4052592.93970711,279.1734
-13169430.934006412,4063235.960198201,-9999.0
-13165345.538141802,4050493.9946156195,324.46472
-13169042.935516477,4052227.905778155,-9999.0
-13161237.318836607,4058809.923809623,-9999.0
-13165060.245134497,4061855.67565434,52.820744
-13156649.80727914,4053722.263424814,-9999.0
-13160449.910136444,4058308.00215731,-9999.0
-13159183.20918401,4053870.558458452,199.33182
-13168791.877670048,4050277.255720303,70.70716
-13167833.293165503,4051600.503712764,203.86125
-13166395.416408686,4050505.4019258996,245.39911
-13165927.535876704,4046558.472569075,-9999.0
-13162960.48860073,4062209.3022730155,121.56358
-13160039.088205926,4054110.1119743288,255.63826
-13159810.85380008,4061718.787930982,-9999.0
-13164786.363847485,4053037.824808024,202.4188
-13169396.698845536,4056311.722858338,-9999.0
-13161933.433774432,4052456.0519837523,15.969756
-13158966.386498459,4064000.2499869503,-9999.0
-13163508.251174757,4053482.7099089376,185.7081
-13167639.293920536,4049535.780552113,-9999.0
-13160541.203898782,4056140.61320414,183.7198
-13158509.91768677,4063053.4432337233,-9999.0
-13163702.250419725,4049262.0051053967,160.80754
-13156364.514271835,4058456.297190948,-9999.0
-13161340.024319237,4054771.7359705595,188.74289
-13163553.898055926,4050653.6969595375,283.31854
-13166167.18200284,4056596.905615334,275.2293
-13162173.079900568,4057258.5296115647,185.46559
-13168620.701865666,4044824.5614065393,-9999.0
-13158418.623924432,4064125.730400028,-9999.0
-13156147.691586282,4062414.6338580525,-9999.0
-13165471.067065015,4050904.657785694,191.14635
-13168472.349501867,4062209.3022730155,-9999.0
-13168848.93627151,4063772.103781353,-9999.0
-13163371.310531251,4055615.876931268,352.8361
-13163051.782363068,4046923.50649803,204.83884
-13162492.60806875,4055433.3599667903,93.63673
-13169225.523041153,4054429.5166621646,-9999.0
-13166338.357807225,4045839.812021445,-9999.0
-13169031.523796186,4047242.9111858653,-9999.0
-13157539.921461932,4059654.064770331,-9999.0
-13168529.408103328,4063156.109026242,-9999.0
-13165881.888995536,4064171.359641148,-9999.0
-13160643.909381412,4058581.7776040263,-9999.0
-13157402.980818426,4056585.4983050544,-9999.0
-13168198.468214855,4046581.2871896345,-9999.0
-13160141.793688556,4047847.498630697,-9999.0
-13165642.2428694,4052752.642051028,220.8114
-13162504.019789042,4047459.6500811824,160.25662
-13167913.175207548,4049615.631724072,-9999.0
-13156193.338467453,4057840.3024358368,-9999.0
-13159742.383478329,4061273.9028300685,-9999.0
-13163097.429244237,4055433.3599667903,129.63312
-13158167.566078003,4048714.4542119647,-9999.0
-13158795.210694075,4064376.691226185,-9999.0
-13163428.36913271,4054372.4801107654,341.40887
-13164010.366867613,4058570.3702937462,110.35881
-13156296.04395008,4062391.8192374925,-9999.0
-13160609.674220536,4046877.8772569103,-9999.0
-13165060.245134497,4046775.211464392,230.93938
